venue,batting_team,bowling_team,innings,score
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,1,77
M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,2,41
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,1,62
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,1,27
"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Chennai Super Kings,2,59
"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,1,53
"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,2,67
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,1,41
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,2,62
Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,2,46
Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,1,30
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,2,49
M.Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,1,52
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,1,42
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,2,68
"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,1,49
"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,2,46
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,1,32
"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,2,44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,2,55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,1,54
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Delhi Capitals,2,42
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Chennai Super Kings,1,41
"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Mumbai Indians,2,53
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Chennai Super Kings,1,45
Sheikh Zayed Stadium,Chennai Super Kings,Mumbai Indians,2,37
Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,1,51
Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,1,26
Dubai International Cricket Stadium,Kings XI Punjab,Delhi Capitals,2,37
Sheikh Zayed Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,1,17
Sheikh Zayed Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,2,44
Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,1,48
Sharjah Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,2,56
Sharjah Cricket Stadium,Chennai Super Kings,Rajasthan Royals,2,53
Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,1,54
Sheikh Zayed Stadium,Delhi Capitals,Kolkata Knight Riders,2,36
Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,1,36
Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,1,47
Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,2,52
Sheikh Zayed Stadium,Mumbai Indians,Royal Challengers Bangalore,2,45
Sheikh Zayed Stadium,Royal Challengers Bangalore,Mumbai Indians,1,54
Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,1,51
Sharjah Cricket Stadium,Rajasthan Royals,Delhi Capitals,2,41
Sheikh Zayed Stadium,Chennai Super Kings,Kolkata Knight Riders,2,54
Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,1,52
Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,1,30
Sharjah Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,2,58
Sheikh Zayed Stadium,Kings XI Punjab,Mumbai Indians,2,41
Sheikh Zayed Stadium,Mumbai Indians,Kings XI Punjab,1,41
Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,1,42
Dubai International Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders,2,39
Sheikh Zayed Stadium,Delhi Capitals,Royal Challengers Bangalore,2,53
Sheikh Zayed Stadium,Royal Challengers Bangalore,Delhi Capitals,1,40
Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,2,57
Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,1,53
Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,2,36
Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,1,26
Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,2,33
Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,1,59
Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,1,39
Sharjah Cricket Stadium,Delhi Capitals,Chennai Super Kings,2,41
Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,1,50
Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,2,40
Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,1,57
Sheikh Zayed Stadium,Rajasthan Royals,Mumbai Indians,2,31
Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,1,51
Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,2,60
Dubai International Cricket Stadium,Chennai Super Kings,Kings XI Punjab,2,60
Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,1,46
Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,1,38
Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals,2,50
Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,1,57
Sharjah Cricket Stadium,Kolkata Knight Riders,Delhi Capitals,2,59
Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,2,36
Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,1,42
Dubai International Cricket Stadium,Kings XI Punjab,Mumbai Indians,2,71
Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,1,59
Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,1,47
Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,2,58
Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,1,63
Dubai International Cricket Stadium,Royal Challengers Bangalore,Delhi Capitals,2,43
Sharjah Cricket Stadium,Kings XI Punjab,Kolkata Knight Riders,2,36
Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,1,54
Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,1,24
Sharjah Cricket Stadium,Mumbai Indians,Chennai Super Kings,2,52
Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,1,52
Dubai International Cricket Stadium,Royal Challengers Bangalore,Rajasthan Royals,2,47
Sheikh Zayed Stadium,Kings XI Punjab,Kolkata Knight Riders,2,47
Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,1,25
Dubai International Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,2,54
Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,1,77
Dubai International Cricket Stadium,Chennai Super Kings,Royal Challengers Bangalore,2,26
Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,1,36
Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,1,33
Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,2,51
Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,1,60
Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,2,69
Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,1,44
Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,2,40
Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,1,46
Sheikh Zayed Stadium,Mumbai Indians,Delhi Capitals,2,44
Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,1,55
Dubai International Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders,2,41
Sharjah Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,2,56
Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,1,57
Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,2,34
Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,1,38
Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,1,43
Sheikh Zayed Stadium,Rajasthan Royals,Chennai Super Kings,2,31
Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,1,53
Dubai International Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,2,48
Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,1,22
Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,2,38
Dubai International Cricket Stadium,Chennai Super Kings,Kolkata Knight Riders,2,44
Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,1,48
Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,1,53
Sheikh Zayed Stadium,Rajasthan Royals,Kings XI Punjab,2,66
Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,1,48
Sharjah Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,2,56
Dubai International Cricket Stadium,Chennai Super Kings,Delhi Capitals,2,34
Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,1,36
Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,2,43
Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,1,47
Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,1,59
Sheikh Zayed Stadium,Rajasthan Royals,Mumbai Indians,2,55
Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,2,45
Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,1,58
Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,1,47
Dubai International Cricket Stadium,Rajasthan Royals,Delhi Capitals,2,50
Dubai International Cricket Stadium,Chennai Super Kings,Royal Challengers Bangalore,2,48
Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,1,46
Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,2,52
Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,1,40
Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,1,53
Dubai International Cricket Stadium,Kings XI Punjab,Delhi Capitals,2,57
Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,2,42
Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,1,70
Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,2,32
Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,1,63
Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,1,32
Sheikh Zayed Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,2,48
Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,1,65
Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,2,49
Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,1,41
Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,2,61
"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,1,41
"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Mumbai Indians,2,46
"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,1,33
"Wankhede Stadium, Mumbai",Delhi Capitals,Chennai Super Kings,2,65
"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,1,50
"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,2,35
